                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4656,                 3.3677,                 2.9181,                0.00767,                0.78788,                0.08501,                0.03668,                 2.4419,                 3.0957,                 3.0408,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.3587,                  3.264,                 2.8494,                0.00393,                0.83333,                0.08661,                0.03627,                 2.4195,                 3.1449,                 3.0463,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.3529,                 3.2371,                 2.8693,                0.04654,                 0.4697,                0.06245,                0.02182,                  2.406,                 3.2058,                 3.0115,               0.000614,               0.000614,               0.000614
                     38,                 2.4104,                 3.3293,                 2.8637,                 0.0287,                0.62121,                0.09068,                0.02787,                 2.4338,                 3.2254,                 3.0472,              0.0005744,              0.0005744,              0.0005744
                     39,                  2.348,                 3.2083,                 2.8324,                0.08215,                0.42424,                0.11027,                0.03302,                 2.4877,                 3.1541,                 3.0815,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.3717,                 3.1339,                 2.8258,                0.06042,                0.40909,                0.13056,                0.04644,                  2.531,                 3.0773,                 3.0923,              0.0004952,              0.0004952,              0.0004952
                     41,                 2.3801,                 3.4975,                 2.9319,                0.07628,                0.65152,                0.20588,                0.08146,                 2.3344,                 2.7785,                 2.9425,              0.0004556,              0.0004556,              0.0004556
                     42,                 2.3236,                  3.395,                 2.8567,                0.11999,                0.57576,                0.20015,                0.07533,                 2.3498,                 2.7784,                 2.9516,               0.000416,               0.000416,               0.000416
                     43,                 2.2862,                 3.2553,                 2.8658,                0.14642,                0.48485,                0.18175,                0.06788,                 2.3005,                 2.8625,                 2.9378,              0.0003764,              0.0003764,              0.0003764
                     44,                 2.2071,                   3.26,                 2.7909,                0.14047,                 0.5303,                0.21198,                0.07157,                 2.3487,                 2.8795,                  2.997,              0.0003368,              0.0003368,              0.0003368
                     45,                  2.255,                 3.1199,                 2.8623,                0.19589,                0.10606,                0.14962,                0.05572,                 2.3693,                 2.8732,                 2.9632,              0.0002972,              0.0002972,              0.0002972
                     46,                 2.2372,                 3.0682,                 2.7723,                0.13551,                0.18182,                0.07059,                0.02415,                 2.5511,                 3.1326,                 3.0898,              0.0002576,              0.0002576,              0.0002576
                     47,                 2.2739,                 3.0846,                 2.8359,                0.19461,                0.20508,                0.13007,                0.04831,                 2.4739,                 2.9853,                  3.014,               0.000218,               0.000218,               0.000218
                     48,                 2.2228,                 3.0185,                  2.804,                0.22868,                0.31818,                0.21331,                 0.0799,                  2.383,                 2.6736,                  2.922,              0.0001784,              0.0001784,              0.0001784
                     49,                 2.1534,                 2.9813,                 2.7335,                0.22702,                0.31153,                0.19043,                0.08095,                 2.2895,                 2.6697,                 2.8811,              0.0001388,              0.0001388,              0.0001388
                     50,                 2.2317,                 2.9882,                 2.8047,                0.27967,                0.25758,                0.21376,                0.08696,                 2.2479,                 2.7471,                 2.8965,               9.92e-05,               9.92e-05,               9.92e-05
